iter	Passed	Remaining
401	12623	18778
402	12652	18743
403	12684	18713
404	12715	18680
405	12746	18648
406	12775	18613
407	12803	18578
408	12833	18543
409	12864	18512
410	12895	18480
411	12927	18449
412	12955	18414
413	12987	18382
414	13015	18346
415	13046	18314
416	13076	18282
417	13108	18251
418	13139	18219
419	13170	18188
420	13199	18153
421	13228	18119
422	13260	18087
423	13292	18057
424	13323	18025
425	13353	17992
426	13382	17958
427	13415	17929
428	13445	17896
429	13476	17864
430	13507	17832
431	13537	17798
432	13568	17767
433	13598	17734
434	13628	17701
435	13657	17667
436	13688	17635
437	13718	17602
438	13749	17570
439	13780	17538
440	13810	17506
441	13841	17474
442	13871	17440
443	13902	17409
444	13936	17381
445	13966	17348
446	13995	17314
447	14026	17282
448	14056	17250
449	14087	17217
450	14117	17185
451	14148	17153
452	14178	17120
453	14207	17086
454	14238	17055
455	14268	17021
456	14302	16994
457	14333	16962
458	14364	16930
459	14394	16897
460	14423	16863
461	14454	16831
462	14483	16798
463	14512	16764
464	14541	16730
465	14572	16699
466	14603	16666
467	14634	16635
468	14664	16603
469	14694	16570
470	14725	16539
471	14756	16506
472	14785	16473
473	14816	16442
474	14847	16410
475	14877	16377
476	14908	16345
477	14936	16311
478	14966	16278
479	14995	16244
480	15022	16209
481	15052	16176
482	15082	16144
483	15112	16111
484	15140	16076
485	15169	16043
486	15198	16010
487	15227	15976
488	15257	15944
489	15288	15912
490	15319	15881
491	15352	15851
492	15380	15817
493	15411	15786
494	15441	15753
495	15472	15722
496	15501	15689
497	15531	15655
498	15561	15623
499	15594	15594
500	15623	15561
501	15656	15531
502	15684	15497
503	15716	15467
504	15750	15439
505	15782	15408
506	15814	15377
507	15845	15346
508	15877	15315
509	15908	15284
510	15940	15253
511	15971	15223
512	16001	15190
513	16032	15159
514	16062	15126
515	16091	15094
516	16120	15060
517	16159	15036
518	16188	15003
519	16218	14971
520	16250	14940
521	16280	14908
522	16311	14876
523	16342	14845
524	16371	14812
525	16400	14779
526	16432	14748
527	16462	14716
528	16493	14684
529	16522	14651
530	16551	14618
531	16582	14587
532	16610	14554
533	16641	14522
534	16670	14489
535	16699	14456
536	16730	14425
537	16763	14395
538	16792	14362
539	16824	14331
540	16854	14300
541	16885	14268
542	16915	14236
543	16944	14203
544	16973	14170
545	17001	14136
546	17033	14106
547	17062	14073
548	17091	14040
549	17120	14008
550	17152	13977
551	17181	13944
552	17213	13913
553	17242	13880
554	17275	13851
555	17306	13820
556	17335	13787
557	17365	13755
558	17394	13722
559	17424	13691
560	17454	13658
561	17486	13628
562	17518	13597
563	17549	13566
564	17579	13534
565	17608	13502
566	17639	13470
567	17669	13438
568	17699	13406
569	17731	13376
570	17763	13345
571	17793	13313
572	17826	13284
573	17856	13252
574	17890	13223
575	17924	13194
576	17956	13163
577	17985	13131
578	18015	13099
579	18044	13066
580	18077	13036
581	18110	13007
582	18145	12978
583	18180	12950
584	18212	12920
585	18244	12889
586	18274	12857
587	18305	12826
588	18334	12793
589	18366	12763
590	18397	12732
591	18428	12700
592	18458	12668
593	18487	12636
594	18529	12612
595	18559	12580
596	18590	12549
597	18620	12517
598	18650	12485
599	18682	12454
600	18712	12423
601	18741	12390
602	18771	12358
603	18801	12326
604	18843	12302
605	18874	12271
606	18904	12239
607	18935	12208
608	18967	12177
609	19000	12147
610	19030	12115
611	19061	12084
612	19096	12055
613	19130	12026
614	19162	11995
615	19193	11964
616	19221	11931
617	19252	11900
618	19284	11869
619	19316	11839
620	19349	11809
621	19382	11778
622	19410	11746
623	19443	11715
624	19471	11682
625	19501	11651
626	19532	11619
627	19566	11590
628	19595	11557
629	19623	11525
630	19656	11494
631	19684	11461
632	19717	11431
633	19746	11399
634	19778	11369
635	19809	11337
636	19840	11306
637	19869	11273
638	19905	11245
639	19938	11215
640	19969	11183
641	19999	11152
642	20029	11120
643	20059	11088
644	20089	11057
645	20119	11025
646	20147	10992
647	20179	10961
648	20208	10929
649	20241	10899
650	20271	10867
651	20302	10836
652	20333	10805
653	20362	10772
654	20393	10741
655	20424	10710
656	20453	10678
657	20485	10647
658	20514	10615
659	20546	10584
660	20576	10552
661	20607	10521
662	20636	10489
663	20665	10457
664	20696	10426
665	20728	10395
666	20757	10363
667	20786	10331
668	20819	10300
669	20853	10270
670	20884	10239
671	20916	10209
672	20944	10176
673	20976	10145
674	21004	10113
675	21033	10081
676	21063	10049
677	21095	10018
678	21124	9986
679	21153	9954
680	21182	9922
681	21213	9891
682	21245	9860
683	21280	9831
684	21312	9800
685	21344	9769
686	21376	9739
687	21410	9709
688	21443	9679
689	21477	9649
690	21509	9618
691	21540	9587
692	21571	9556
693	21600	9524
694	21644	9498
695	21677	9468
696	21707	9436
697	21738	9405
698	21771	9375
699	21801	9343
700	21829	9310
701	21859	9279
702	21891	9248
703	21924	9218
704	21954	9186
705	21987	9156
706	22019	9125
707	22050	9094
708	22084	9064
709	22116	9033
710	22146	9001
711	22175	8970
712	22206	8938
713	22236	8907
714	22268	8876
715	22302	8846
716	22332	8814
717	22362	8783
718	22398	8753
719	22429	8722
720	22459	8691
721	22489	8659
722	22519	8627
723	22549	8596
724	22578	8564
725	22608	8532
726	22643	8502
727	22673	8471
728	22702	8439
729	22736	8409
730	22767	8378
731	22798	8346
732	22827	8314
733	22859	8284
734	22890	8253
735	22919	8221
736	22949	8189
737	22979	8157
738	23008	8126
739	23039	8095
740	23069	8063
741	23104	8033
742	23136	8002
743	23168	7972
744	23198	7940
745	23229	7909
746	23259	7877
747	23292	7847
748	23325	7816
749	23356	7785
750	23387	7754
751	23419	7723
752	23448	7691
753	23477	7659
754	23508	7628
755	23540	7597
756	23571	7566
757	23603	7535
758	23632	7503
759	23662	7472
760	23691	7440
761	23722	7409
762	23752	7378
763	23785	7347
764	23816	7316
765	23845	7284
766	23877	7253
767	23908	7222
768	23937	7190
769	23970	7160
770	24000	7128
771	24032	7097
772	24064	7066
773	24096	7035
774	24128	7004
775	24157	6973
776	24195	6944
777	24239	6916
778	24272	6886
779	24303	6854
780	24335	6823
781	24365	6792
782	24395	6760
783	24424	6729
784	24456	6698
785	24485	6666
786	24516	6635
787	24545	6603
788	24577	6572
789	24608	6541
790	24640	6510
791	24672	6479
792	24703	6448
793	24734	6417
794	24764	6385
795	24796	6354
796	24826	6323
797	24857	6292
798	24887	6260
799	24917	6229
800	24949	6198
801	24977	6166
802	25007	6135
803	25037	6103
804	25068	6072
805	25098	6041
806	25128	6009
807	25159	5978
808	25190	5947
809	25220	5915
810	25254	5885
811	25285	5854
812	25318	5823
813	25350	5792
814	25378	5760
815	25410	5729
816	25439	5698
817	25467	5666
818	25498	5635
819	25528	5603
820	25559	5572
821	25591	5541
822	25622	5510
823	25653	5479
824	25684	5448
825	25716	5417
826	25750	5386
827	25783	5356
828	25814	5324
829	25844	5293
830	25873	5261
831	25904	5230
832	25938	5200
833	25969	5169
834	26000	5137
835	26030	5106
836	26062	5075
837	26095	5044
838	26125	5013
839	26163	4983
840	26195	4952
841	26225	4921
842	26259	4890
843	26291	4859
844	26321	4828
845	26352	4796
846	26383	4765
847	26413	4734
848	26444	4703
849	26491	4674
850	26522	4643
851	26553	4612
852	26584	4581
853	26616	4550
854	26647	4519
855	26677	4487
856	26708	4456
857	26741	4425
858	26773	4394
859	26806	4363
860	26840	4333
861	26870	4301
862	26900	4270
863	26931	4239
864	26961	4207
865	26992	4176
866	27024	4145
867	27057	4114
868	27089	4083
869	27122	4052
870	27152	4021
871	27181	3989
872	27213	3958
873	27246	3927
874	27280	3897
875	27310	3865
876	27340	3834
877	27370	3803
878	27399	3771
879	27430	3740
880	27462	3709
881	27495	3678
882	27528	3647
883	27557	3616
884	27589	3585
885	27620	3553
886	27651	3522
887	27684	3491
888	27716	3460
889	27748	3429
890	27777	3398
891	27809	3367
892	27845	3336
893	27878	3305
894	27910	3274
895	27943	3243
896	27973	3212
897	28003	3180
898	28033	3149
899	28065	3118
900	28095	3087
901	28128	3056
902	28160	3024
903	28191	2993
904	28222	2962
905	28253	2931
906	28285	2900
907	28317	2869
908	28348	2837
909	28380	2806
910	28411	2775
911	28443	2744
912	28475	2713
913	28505	2682
914	28536	2650
915	28565	2619
916	28599	2588
917	28629	2557
918	28658	2525
919	28690	2494
920	28721	2463
921	28751	2432
922	28784	2401
923	28818	2370
924	28848	2339
925	28877	2307
926	28905	2276
927	28936	2245
928	28965	2213
929	28996	2182
930	29027	2151
931	29058	2120
932	29088	2088
933	29118	2057
934	29153	2026
935	29183	1995
936	29216	1964
937	29247	1933
938	29278	1902
939	29309	1870
940	29340	1839
941	29370	1808
942	29398	1777
943	29431	1745
944	29464	1714
945	29496	1683
946	29526	1652
947	29557	1621
948	29588	1590
949	29620	1558
950	29653	1527
951	29683	1496
952	29717	1465
953	29748	1434
954	29781	1403
955	29814	1372
956	29847	1341
957	29876	1309
958	29906	1278
959	29937	1247
960	29967	1216
961	30001	1185
962	30031	1153
963	30063	1122
964	30092	1091
965	30124	1060
966	30155	1029
967	30189	998
968	30221	966
969	30252	935
970	30283	904
971	30315	873
972	30346	842
973	30377	810
974	30410	779
975	30443	748
976	30474	717
977	30504	686
978	30534	654
979	30566	623
980	30597	592
981	30627	561
982	30659	530
983	30689	499
984	30720	467
985	30749	436
986	30781	405
987	30810	374
988	30842	343
989	30871	311
990	30900	280
991	30929	249
992	30961	218
993	30992	187
994	31024	155
995	31060	124
996	31091	93
997	31124	62
998	31157	31
999	31188	0
